P_x,P_y,O_z,O_w
-3.14157522549,-2.23150069154,0.908238727447,0.418452403465
-3.13929309158,-2.23553576022,0.811353031728,0.584556462548
-3.13900811983,-2.22703426213,0.690692140829,0.723148924217
-3.13156778544,-2.12226108701,0.543221926316,0.839589148792
-2.98416037521,-1.88896648458,0.427764358777,0.903890288343
-2.77233377175,-1.66178530946,0.320568393357,0.947225371905
-2.52386653994,-1.48682960079,0.293158869477,0.956063741205
-2.309284101,-1.34581741349,0.28003669543,0.959989296405
-2.09279030807,-1.21186036217,0.267180119883,0.963646607185
-1.84438756958,-1.17157132756,0.253226009192,0.967407147104
-1.61566107061,-1.04203806924,0.255294320216,0.966863387488
-1.38820626541,-0.912919986714,0.255294320216,0.966863387488
-1.16449419976,-0.785926525613,0.255294320216,0.966863387488
-0.930096902317,-0.681754090638,0.219314435462,0.975654230964
-0.699833610201,-0.572192583025,0.221351021967,0.975194198647
-0.471426267948,-0.46132293833,0.227259587123,0.973834215902
-0.243722277112,-0.346955875872,0.234002896296,0.972235899628
-0.0109028767326,-0.231520334595,0.211968919412,0.97727640778
0.235172148179,-0.117283465051,0.218967824969,0.97573207984
0.496227767427,0.0082083540623,0.225276494904,0.974294873662
0.866909945662,0.0888328427033,0.210116711202,0.977676310275
1.0970130397,0.192716597056,0.210879235269,0.977512121732
1.32600643887,0.304695233987,0.263281773628,0.964718978602
1.38581987818,0.345369547284,0.453325585554,0.8913450025
1.33535494867,0.319669700612,0.617288146366,0.786737150741
1.33447975296,0.30558643182,0.746935237782,0.664896796924
1.33848755189,0.292266183429,0.853141418154,0.521679710771
1.40754955895,0.328330790234,0.933257093382,0.359209128018
1.35740296573,0.358605340369,0.983245516949,0.182286185431
1.19719376294,0.454281470905,0.999982589871,0.00590084364937
1.17274213079,0.454317755636,0.99999425128,-0.00339078263781
0.912325241432,0.43193237289,0.997723832986,-0.0674325818324
0.653299944874,0.395379574598,0.997294666967,-0.0735074638353
0.390764493507,0.353586782518,0.996399468473,-0.0847826587609
0.132899752438,0.284561395147,0.993329903316,-0.115306995354
-0.12791836307,0.217418066008,0.990598621014,-0.136800482619
-0.381937894794,0.138377515109,0.98636983024,-0.164543483589
-0.630261112512,0.0448970767358,0.981137452722,-0.193311403872
-0.881091948151,-0.05809958211,0.984936592949,-0.172915898256
-1.12929773914,-0.15095831469,0.983135639918,-0.182877865044
-1.37719385781,-0.24982084919,0.980898657046,-0.194519471021
-1.62105655631,-0.353980613254,0.978466253598,-0.206406856887
-1.8979670825,-0.410555719776,0.977863153425,-0.209245437644
-2.12816504692,-0.517020700729,0.975369017556,-0.220579417881
-2.36821788982,-0.635076152774,0.972595979385,-0.23250174383
-2.6014866707,-0.756852880276,0.969806858372,-0.243874265666
-2.84466702883,-0.849779699517,0.971982022721,-0.235055200981
-3.06637732774,-0.966690705709,0.96943624264,-0.245343374592
-3.29417400747,-1.0902960341,0.970355633411,-0.241681494342
-3.43317318825,-1.15508258089,0.997824883484,-0.065920420964
-3.41284334795,-1.13269484751,0.999949405918,0.0100591055163
-3.40895166397,-1.13353704037,0.979453538988,0.201669940654
-3.40580723067,-1.13563950035,0.926310355811,0.376761363091
-3.40364433988,-1.13868723515,0.843348850443,0.537366463836
-3.50737987742,-1.18047564139,0.73227708801,0.681006803472
-3.49495063922,-1.12135134997,0.596265280056,0.802787466145
-3.375753685,-0.887458754947,0.469488364111,0.882938659231
-3.23857812964,-0.66809239651,0.411720903769,0.91130998974
-3.05009414197,-0.478260968605,0.359007269943,0.933334763163
-2.84988458996,-0.309553184877,0.333006981697,0.942924360774
-2.63283055856,-0.173581759613,0.279074875334,0.960269344485
-2.40994843274,-0.036102623399,0.266528647374,0.963826996991
-2.18463621306,0.0950432818199,0.254931439586,0.966959131045
-1.95632326004,0.221321839825,0.245426977615,0.969415080685
-1.71801723719,0.323190650765,0.214357616465,0.976755246857
-1.48282264586,0.433016756272,0.219042116255,0.975715404873
-1.25310043137,0.542959479008,0.22363332814,0.974673347612
-1.02579708499,0.654379062736,0.228191988638,0.973616154509
-0.735344917343,0.778791224953,0.196201617703,0.980563575303
-0.499840201369,0.878275411554,0.200833646505,0.979625360243
-0.255224846413,0.984393395875,0.206151470214,0.97852009245
0.0642901446585,1.07534447892,0.189336019929,0.981912354316
0.301370918811,1.17269529242,0.197032564863,0.980396944295
0.662031466771,1.32843524788,0.208185164049,0.978089432245
0.967357947146,1.46812434765,0.217529174563,0.976053819322
1.22401436885,1.54382331603,0.21001863693,0.977697382702
1.49336097737,1.66634744725,0.204047647851,0.97896095806
1.73432562171,1.73775111629,0.0679856801714,0.997686297035
1.87695855289,1.73067790555,-0.10929451866,0.994009410514
2.1104199932,1.62422417831,-0.286175447802,0.958177234689
2.32362193591,1.48794635249,-0.394698281748,0.918810789219
2.48444528673,1.28691861871,-0.464630802296,0.885504498892
2.62786655348,1.06261802953,-0.490821965801,0.871259891127
2.75847714103,0.837587454244,-0.506205871648,0.862412671236
2.86706932344,0.604536930007,-0.552651831134,0.833412235058
