time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,GPU,RAM,EMC,IRAM,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,power cur,power avg
2022-04-05 12:18:27.652201,0:11:09.140000,OFF,MAXN,27,29,31,30,0,1741828,1741828,1741828,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,31.5,1789,2107
2022-04-05 12:18:28.152444,0:11:09.640000,OFF,MAXN,38,22,33,32,0,1742828,1742828,1742828,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,29.5,31.5,2341,2110
2022-04-05 12:18:28.674647,0:11:10.160000,OFF,MAXN,27,28,24,25,0,1742284,1742284,1742284,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.0,31.25,1827,2107
2022-04-05 12:18:29.172829,0:11:10.660000,OFF,MAXN,34,30,39,30,0,1742968,1742968,1742968,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,29.5,31.25,1789,2103
2022-04-05 12:18:29.679655,0:11:11.170000,OFF,MAXN,33,29,22,31,0,1743400,1743400,1743400,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.25,1827,2100
2022-04-05 12:18:30.193485,0:11:11.680000,OFF,MAXN,34,31,36,22,0,1744064,1744064,1744064,0,25,OFF,OFF,OFF,0.0,37.0,33.5,30.0,29.5,32.5,2742,2107
2022-04-05 12:18:30.703133,0:11:12.190000,OFF,MAXN,34,26,25,26,0,1743164,1743164,1743164,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,32.5,1862,2104
2022-04-05 12:18:31.215492,0:11:12.700000,OFF,MAXN,36,26,32,28,0,1743372,1743372,1743372,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.0,31.75,1754,2100
2022-04-05 12:18:31.728945,0:11:13.210000,OFF,MAXN,32,30,25,30,0,1743184,1743184,1743184,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,31.75,1976,2099
2022-04-05 12:18:32.234265,0:11:13.720000,OFF,MAXN,36,30,29,30,0,1744132,1744132,1744132,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.5,2378,2102
2022-04-05 12:18:32.741838,0:11:14.230000,OFF,MAXN,31,31,29,24,13,1743232,1743232,1743232,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,31.5,1751,2098
2022-04-05 12:18:33.250269,0:11:14.740000,OFF,MAXN,34,32,21,34,0,1743236,1743236,1743236,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,29.5,31.75,1751,2094
2022-04-05 12:18:33.759878,0:11:15.250000,OFF,MAXN,32,28,27,19,0,1742860,1742860,1742860,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.75,2231,2096
2022-04-05 12:18:34.277148,0:11:15.760000,OFF,MAXN,37,26,30,22,0,1743436,1743436,1743436,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.0,31.5,1602,2090
2022-04-05 12:18:34.779828,0:11:16.270000,OFF,MAXN,34,26,30,31,0,1743000,1743000,1743000,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,29.5,31.5,1862,2088
2022-04-05 12:18:35.290385,0:11:16.780000,OFF,MAXN,38,25,28,25,0,1744004,1744004,1744004,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,29.5,31.5,1938,2086
2022-04-05 12:18:35.796157,0:11:17.280000,OFF,MAXN,40,26,30,28,0,1744800,1744800,1744800,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.75,2634,2092
2022-04-05 12:18:36.308147,0:11:17.790000,OFF,MAXN,27,28,26,28,0,1744000,1744000,1744000,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.75,2011,2091
2022-04-05 12:18:36.813631,0:11:18.300000,OFF,MAXN,36,27,32,30,0,1743932,1743932,1743932,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.75,1824,2088
2022-04-05 12:18:37.323175,0:11:18.810000,OFF,MAXN,36,35,34,28,0,1742800,1742800,1742800,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.75,2121,2089
2022-04-05 12:18:37.829305,0:11:19.320000,OFF,MAXN,37,29,26,32,0,1743812,1743812,1743812,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,31.5,2378,2092
2022-04-05 12:18:38.339722,0:11:19.830000,OFF,MAXN,38,30,24,29,12,1742896,1742896,1742896,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.5,2087,2092
2022-04-05 12:18:38.852171,0:11:20.340000,OFF,MAXN,38,20,28,29,0,1743176,1743176,1743176,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.75,1789,2089
2022-04-05 12:18:39.358510,0:11:20.840000,OFF,MAXN,35,29,31,25,0,1743096,1743096,1743096,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.75,2634,2094
2022-04-05 12:18:39.874907,0:11:21.360000,OFF,MAXN,35,28,23,30,0,1756400,1756400,1756400,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.5,29.5,31.75,1789,2091
2022-04-05 12:18:40.380911,0:11:21.870000,OFF,MAXN,36,27,27,28,0,1743508,1743508,1743508,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.75,2049,2091
2022-04-05 12:18:40.888613,0:11:22.370000,OFF,MAXN,32,32,25,26,0,1744472,1744472,1744472,0,25,OFF,OFF,OFF,0.0,37.0,33.5,30.0,29.5,31.75,1973,2089
2022-04-05 12:18:41.397450,0:11:22.880000,OFF,MAXN,40,29,34,26,0,1745016,1745016,1745016,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.5,30.0,32.0,2882,2097
2022-04-05 12:18:41.915871,0:11:23.400000,OFF,MAXN,30,24,26,26,0,1744040,1744040,1744040,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,29.5,32.0,1862,2095
2022-04-05 12:18:42.424810,0:11:23.910000,OFF,MAXN,34,33,29,30,2,1740932,1740932,1740932,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,32.0,2378,2097
2022-04-05 12:18:42.939571,0:11:24.430000,OFF,MAXN,30,22,30,30,0,1741472,1741472,1741472,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,32.0,1938,2096
2022-04-05 12:18:43.447158,0:11:24.930000,OFF,MAXN,42,34,27,33,0,1743052,1743052,1743052,0,25,OFF,OFF,OFF,0.0,36.5,34.0,30.0,30.5,31.5,2957,2104
