[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_robot_state_pub_run_1,12.58%,0.56%,22.19MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,14.04%,1.08%,42.97MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.65%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.75%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,7.11%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,19.29%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.71%,0.97%,38.31MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,12.58%,0.56%,22.19MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,14.04%,1.08%,42.97MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.65%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.75%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,7.11%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.34%,0.58%,23.01MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.75%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,10.84%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.87%,1.08%,42.98MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.69%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.26%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.76%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.34%,0.58%,23.01MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.75%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,10.84%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.87%,1.08%,42.98MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.69%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.26%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.76%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.42%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.73%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.19%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.52%,1.08%,43MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.86%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.45%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.57%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.42%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.73%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.19%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.52%,1.08%,43MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.86%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.45%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.57%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.42%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.16%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.19%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.68%,1.08%,43MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.86%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.45%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.89%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.32%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.16%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.20%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.68%,1.08%,43MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.62%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.69%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.89%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.32%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.16%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.20%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.68%,1.08%,43MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.62%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.69%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.89%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.62%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.06%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.25%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.03%,1.08%,43MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.38%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.67%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.11%,1.25%,49.46MiB / 3.871GiB
